"Venezuela, RB",India,Syrian Arab Republic,Bangladesh,China,Pakistan,South Sudan,Myanmar,Zimbabwe,Indonesia
18870.0,-85391.0,-16000.0,-142378.0,-1125727.0,-93268.0,0.0,0.0,-15009.0,449965.0
3160.0,-342846.0,-16000.0,-161822.0,-160002.0,-209978.0,0.0,0.0,-42001.0,556062.0
940.0,2106041.0,-81501.0,-3045287.0,-1105479.0,-138106.0,25000.0,0.0,-45547.0,508276.0
1120.0,1111236.0,-161672.0,-1137344.0,-47004.0,672203.0,60000.0,0.0,-152283.0,378743.0
1380.0,579708.0,-87001.0,-793826.0,-200000.0,1387118.0,150000.0,-54656.0,99068.0,475080.0
920.0,45150.0,-146501.0,-219363.0,-431651.0,139790.0,-416233.0,-200000.0,84354.0,261282.0
-2270.0,-552948.0,-70000.0,-813794.0,-779982.0,-1023387.0,-1097076.0,-713704.0,-298236.0,-35412.0
-4540.0,-682569.0,-130000.0,-719899.0,-382999.0,470909.0,300000.0,-537998.0,-524671.0,-67671.0
-22740.0,-1888986.0,-379910.0,-1492537.0,-1965578.0,-650182.0,432000.0,-1208092.0,-697817.0,-1149655.0
-200220.0,-2655844.0,370000.0,-3254778.0,-2178385.0,-339805.0,846611.0,-1336928.0,-512676.0,-1333685.0
-431040.0,-2350075.0,-5386986.0,-2306839.0,-1552209.0,-1079167.0,-100000.0,-528211.0,-622997.0,-454447.0
-3266243.0,-2663434.0,-2136954.0,-1847503.0,-1741996.0,-1166895.0,-870998.0,-816564.0,-584288.0,-494777.0
